                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.83811,                0.72263,                 1.1624,                 0.8755,                0.88842,                0.91165,                0.61159,                 1.2147,                 0.9443,                 1.3721,             0.00056128,             0.00056128,             0.00056128
                     69,                0.80925,                0.65702,                 1.1356,                0.93583,                0.89847,                0.92622,                0.62929,                  1.234,                0.84457,                 1.3896,             0.00054478,             0.00054478,             0.00054478
                     70,                0.80554,                 0.6924,                 1.1451,                0.89213,                0.88546,                0.91661,                0.62653,                 1.2041,                0.91979,                  1.375,             0.00052827,             0.00052827,             0.00052827
                     71,                0.77437,                0.67151,                 1.1211,                0.89276,                0.86869,                0.90714,                0.61783,                 1.1724,                0.99071,                 1.3487,             0.00051177,             0.00051177,             0.00051177
                     72,                0.74947,                0.71659,                  1.109,                0.91982,                0.84286,                0.90903,                0.62427,                 1.1511,                 1.0112,                 1.3359,             0.00049527,             0.00049527,             0.00049527
                     73,                0.79372,                0.67083,                 1.1477,                0.91156,                0.86986,                0.92195,                0.63096,                 1.1587,                0.94323,                 1.3303,             0.00047876,             0.00047876,             0.00047876
                     74,                0.78573,                0.61556,                 1.1435,                0.96006,                0.87851,                0.93954,                0.64249,                 1.1611,                0.90748,                  1.315,             0.00046226,             0.00046226,             0.00046226
                     75,                0.78604,                0.61125,                 1.1229,                0.96352,                0.88825,                0.94001,                0.65522,                 1.1559,                0.84306,                 1.3126,             0.00044576,             0.00044576,             0.00044576
                     76,                0.80913,                0.67772,                  1.136,                0.96003,                0.87851,                0.93708,                 0.6407,                 1.1641,                0.82317,                  1.339,             0.00042925,             0.00042925,             0.00042925
                     77,                0.79819,                0.66424,                 1.1223,                0.95076,                0.89014,                0.93334,                 0.6527,                 1.1526,                0.85295,                 1.3233,             0.00041275,             0.00041275,             0.00041275
                     78,                0.79231,                0.63267,                  1.145,                0.94664,                0.88827,                0.93157,                0.64337,                 1.1483,                0.83956,                 1.3187,             0.00039625,             0.00039625,             0.00039625
                     79,                0.79508,                 0.6134,                 1.1189,                0.95416,                0.88358,                0.93459,                0.65055,                 1.1602,                0.84656,                 1.3228,             0.00037974,             0.00037974,             0.00037974
                     80,                0.79029,                0.67636,                 1.1706,                0.96117,                0.87401,                0.92764,                0.64421,                 1.1899,                0.86007,                 1.3537,             0.00036324,             0.00036324,             0.00036324
                     81,                0.76451,                0.64368,                 1.1351,                0.91395,                0.89014,                  0.917,                0.63256,                   1.18,                0.90335,                 1.3479,             0.00034674,             0.00034674,             0.00034674
                     82,                0.73985,                0.61114,                  1.096,                 0.9367,                0.89014,                0.92635,                 0.6463,                 1.1618,                0.86376,                 1.3182,             0.00033023,             0.00033023,             0.00033023
                     83,                0.79925,                0.62826,                 1.1263,                0.93445,                0.89014,                0.93405,                0.65893,                 1.1378,                0.79533,                  1.302,             0.00031373,             0.00031373,             0.00031373
                     84,                 0.7522,                0.64021,                 1.1279,                0.94022,                0.87851,                0.94282,                0.66802,                 1.1374,                0.74531,                 1.3174,             0.00029723,             0.00029723,             0.00029723
                     85,                 0.7769,                0.63415,                 1.1179,                0.96325,                0.88594,                 0.9461,                0.67302,                 1.1547,                0.74791,                  1.323,             0.00028072,             0.00028072,             0.00028072
                     86,                0.72355,                0.59748,                 1.0981,                0.96344,                0.88986,                0.94223,                 0.6669,                 1.1704,                0.76598,                 1.3256,             0.00026422,             0.00026422,             0.00026422
                     87,                0.72416,                0.58802,                 1.0988,                0.95064,                0.89014,                0.93946,                0.66213,                 1.1732,                0.82356,                 1.3239,             0.00024772,             0.00024772,             0.00024772
                     88,                0.70896,                0.60904,                 1.0779,                0.95166,                0.89274,                0.94416,                0.65462,                 1.1741,                0.83606,                 1.3253,             0.00023121,             0.00023121,             0.00023121
                     89,                0.71115,                0.58816,                 1.0873,                0.93273,                0.89014,                0.93941,                0.65212,                 1.1805,                0.82527,                 1.3386,             0.00021471,             0.00021471,             0.00021471
                     90,                0.73567,                0.59596,                 1.1375,                0.94112,                0.89014,                0.93222,                0.65756,                 1.1841,                0.82369,                 1.3368,             0.00019821,             0.00019821,             0.00019821
                     91,                0.64055,                0.49944,                 1.0336,                0.94512,                0.89014,                0.93174,                 0.6569,                 1.1875,                0.84351,                 1.3307,              0.0001817,              0.0001817,              0.0001817
                     92,                0.62553,                0.45722,                 1.0148,                0.97766,                0.87851,                0.92581,                0.66526,                 1.1722,                0.81805,                 1.3151,              0.0001652,              0.0001652,              0.0001652
                     93,                0.60747,                0.44703,                0.99558,                0.98115,                0.87851,                0.91358,                0.66967,                 1.1559,                0.82816,                 1.3093,              0.0001487,              0.0001487,              0.0001487
                     94,                0.62339,                  0.445,                0.98289,                 0.9821,                0.87708,                0.91305,                0.67229,                 1.1504,                0.82199,                 1.3108,             0.00013219,             0.00013219,             0.00013219
                     95,                0.63405,                0.46601,                 1.0205,                0.97726,                0.87398,                0.92071,                0.67517,                 1.1441,                0.81309,                  1.311,             0.00011569,             0.00011569,             0.00011569
                     96,                0.59914,                0.43609,                0.99389,                0.94999,                0.87851,                0.92888,                0.66706,                 1.1306,                0.79375,                 1.3128,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.56463,                0.41933,                0.98658,                0.93135,                0.89959,                0.94159,                0.66088,                  1.128,                0.77951,                 1.3168,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.58114,                0.40922,                0.97247,                 0.9314,                0.89982,                 0.9493,                0.66742,                 1.1213,                0.78978,                 1.3172,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.54843,                 0.4179,                0.95762,                0.93228,                0.90013,                0.94794,                0.66723,                 1.1251,                0.78476,                 1.3204,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.58172,                0.41381,                0.95508,                0.93161,                 0.8998,                0.94771,                0.66479,                 1.1312,                0.78415,                 1.3264,             3.3173e-05,             3.3173e-05,             3.3173e-05
